1024,6.0471e-06,6.8872e-06,7.8591e-06,7.1911e-06
4096,6.5581e-06,7.3421e-06,8.1271e-06,7.7782e-06
16384,8.2551e-06,9.2812e-06,9.7641e-06,8.1412e-06
65536,1.5964e-05,1.2910e-05,1.6518e-05,1.2814e-05
262144,4.0102e-05,2.8396e-05,4.3307e-05,2.9284e-05
1048576,1.4078e-04,9.0252e-05,1.5112e-04,9.4613e-05
4194304,3.9094e-04,3.3921e-04,4.7968e-04,3.3567e-04
16777216,1.4390e-03,1.3379e-03,1.6742e-03,1.2901e-03
67108864,5.5462e-03,5.3172e-03,6.4576e-03,5.1195e-03
268435456,2.1868e-02,2.1235e-02,2.5488e-02,2.0389e-02
1073741824,8.7255e-02,8.4941e-02,1.0185e-01,8.1469e-02
