128,0.00267989
256,0.0206446
384,0.0679196
512,0.255626
640,0.33137
768,0.659291
896,0.996167
1024,7.27739
1152,2.48548
1280,4.18611
1408,5.34805
1536,7.07116
1664,9.10291
1792,12.2536
1920,15.6056
2048,57.887
2176,16.5125
2304,19.813
2432,23.2962
2560,38.5172
2688,31.3921
2816,36.9668
2944,41.9012
3072,199.296
3200,53.5121
3328,61.2455
3456,67.3377
3584,107.661
3712,83.5503
3840,93.2448
3968,101.469
4096,528.129
4224,122.42
4352,138.508
4480,146.716
4608,234.102
4736,173.309
4864,191.863
4992,203.006
