1, 1, 33.709686, 6.342215
1, 2, 2.619831, 6.344278
1, 4, 2.619629, 6.343659
1, 8, 2.618536, 6.337337
1, 16, 2.619734, 6.341203
1, 32, 2.620412, 6.342523
1, 64, 2.621901, 6.332867
1, 128, 2.615594, 6.340890
1, 256, 2.616768, 6.343042
1, 512, 2.609412, 6.341090
1, 1024, 2.614325, 6.337870
2, 1, 2.613246, 6.347844
2, 2, 2.620187, 6.355943
2, 4, 2.616429, 6.339565
2, 8, 2.616700, 6.347115
2, 16, 2.619165, 6.343719
2, 32, 2.610936, 6.349537
2, 64, 2.614322, 6.369188
2, 128, 2.615679, 6.409926
2, 256, 2.617181, 6.342162
2, 512, 2.618934, 6.341449
2, 1024, 2.618894, 6.222924
4, 1, 2.448202, 6.252816
4, 2, 2.592245, 6.348526
4, 4, 2.617286, 6.348783
4, 8, 2.603908, 6.351752
4, 16, 2.616412, 6.341106
4, 32, 2.620247, 6.347525
4, 64, 2.609231, 6.340325
4, 128, 2.602728, 6.313150
4, 256, 2.609410, 6.317926
4, 512, 2.608772, 6.309745
4, 1024, 2.607142, 6.316687
8, 1, 2.612636, 6.312737
8, 2, 2.612585, 6.308216
8, 4, 2.609104, 6.308203
8, 8, 2.606052, 6.306043
8, 16, 2.607950, 6.306650
8, 32, 2.611473, 6.307627
8, 64, 2.605506, 6.311089
8, 128, 2.609805, 6.317627
8, 256, 2.610272, 6.310948
8, 512, 2.608016, 6.231291
8, 1024, 2.417830, 6.284987
16, 1, 2.606133, 6.312096
16, 2, 2.608221, 6.312966
16, 4, 2.611325, 6.316528
16, 8, 2.611019, 6.316767
16, 16, 2.607510, 6.311598
16, 32, 2.619775, 6.346290
16, 64, 2.623130, 6.329055
16, 128, 2.618418, 6.312205
16, 256, 2.611707, 6.312025
16, 512, 2.609217, 6.316353
16, 1024, 2.608362, 6.339778
32, 1, 2.615226, 6.324439
32, 2, 2.613530, 6.305459
32, 4, 2.633027, 6.322252
32, 8, 2.605385, 6.304975
32, 16, 2.606349, 6.308906
32, 32, 2.608183, 6.286671
