1024,1,1,0.0011
4096,1,1,0.0051
16384,1,1,0.0127
65536,1,1,0.0364
262144,1,1,0.0467
1048576,1,1,0.0544
4194304,1,1,0.0532
16777216,1,1,0.0599
67108864,1,1,0.0599
268435456,1,1,0.0599
1073741824,1,1,0.0595
1024,1,4,0.0012
4096,1,4,0.0058
16384,1,4,0.0167
65536,1,4,0.0636
262144,1,4,0.0950
1048576,1,4,0.1311
4194304,1,4,0.1081
16777216,1,4,0.1166
67108864,1,4,0.1257
268435456,1,4,0.1259
1073741824,1,4,0.1259
1024,1,16,0.0011
4096,1,16,0.0059
16384,1,16,0.0161
65536,1,16,0.0791
262144,1,16,0.1648
1048576,1,16,0.2983
4194304,1,16,0.2051
16777216,1,16,0.2123
67108864,1,16,0.2362
268435456,1,16,0.2371
1073741824,1,16,0.2373
1024,1,64,0.0012
4096,1,64,0.0078
16384,1,64,0.0162
65536,1,64,0.0907
262144,1,64,0.2363
1048576,1,64,0.7782
4194304,1,64,0.7339
16777216,1,64,0.8377
67108864,1,64,0.8767
268435456,1,64,0.9449
1073741824,1,64,0.9460
1024,1,256,0.0010
4096,1,256,0.0064
16384,1,256,0.0191
65536,1,256,0.1139
262144,1,256,0.2572
1048576,1,256,1.1987
4194304,1,256,1.9326
16777216,1,256,2.9308
67108864,1,256,3.0309
268435456,1,256,3.0530
1073741824,1,256,3.6885
1024,1,1024,0.0011
4096,1,1024,0.0062
16384,1,1024,0.0177
65536,1,1024,0.1071
262144,1,1024,0.2975
1048576,1,1024,1.5223
4194304,1,1024,3.3874
16777216,1,1024,8.6132
67108864,1,1024,10.9452
268435456,1,1024,11.9119
1073741824,1,1024,13.1303
