1024,0.129863,0.331579,0.533265,0.638552,0.673897,0.671982
2048,0.143884,0.437214,0.892403,1.21416,1.33227,1.34479
3072,0.149115,0.489976,1.14014,1.70394,1.96974,2.01737
4096,0.151895,0.521043,1.32579,2.1435,2.55791,2.68838
5120,0.153557,0.5413,1.46922,2.57121,3.15923,3.27641
6144,0.154764,0.556135,1.57438,2.93873,3.7237,3.94109
7168,0.155608,0.567012,1.67552,3.27752,4.27891,4.58527
8192,0.156253,0.575716,1.75119,3.5768,4.83363,5.24883
9216,0.156742,0.5823,1.81319,3.86576,5.33961,5.74626
10240,0.156721,0.587961,1.87117,4.10891,5.82812,6.39722
11264,0.157461,0.592672,1.92125,4.35165,6.36752,7.03042
12288,0.157736,0.596655,1.96022,4.57703,6.81359,7.67947
13312,0.157991,0.599986,1.9963,4.7636,7.27476,8.07898
14336,0.158057,0.602801,2.02919,4.96437,7.76109,8.73603
15360,0.158357,0.605429,2.05898,5.14803,8.07559,9.35896
16384,0.158456,0.607584,2.08521,5.31142,8.43642,9.97036
17408,0.158635,0.609573,2.10614,5.46659,8.92838,10.3656
18432,0.158772,0.61141,2.12825,5.62029,9.42884,10.9758
19456,0.15888,0.61302,2.15018,5.75864,9.87787,11.5688
20480,0.158973,0.614493,2.16512,5.88624,10.1999,12.1785
21504,0.159064,0.615766,2.1842,5.99541,10.576,12.4932
22528,0.159073,0.617009,2.19869,6.12372,10.9911,13.106
23552,0.159216,0.618131,2.21265,6.22865,11.2768,13.7311
24576,0.159274,0.619103,2.2239,6.29954,11.6454,14.2277
25600,0.159345,0.620083,2.23678,6.43633,11.9973,14.6317
26624,0.159402,0.620396,2.24798,6.52965,12.3009,15.2119
27648,0.159457,0.6208,2.25917,6.61527,12.6586,15.7856
28672,0.159503,0.622464,2.2682,6.70408,12.964,16.332
29696,0.159546,0.623048,2.27733,6.77924,13.2807,16.6906
30720,0.15959,0.623746,2.2865,6.86648,13.6057,17.2356
31744,0.159635,0.624421,2.29501,6.94082,13.8494,17.8036
32768,0.159671,0.625051,2.3019,7.0059,14.1249,18.2969
33792,0.159705,0.625481,2.30936,7.07466,14.4548,18.5497
34816,0.159737,0.626115,2.31658,7.13332,14.7025,19.1947
35840,0.159756,0.626489,2.32347,7.20998,15.0145,19.7867
36864,0.159799,0.627006,2.32941,7.26881,15.2453,20.3166
37888,0.159828,0.62737,2.33564,7.32301,15.5245,20.4373
38912,0.159857,0.627845,2.34193,7.3786,15.7971,21.0324
39936,0.159881,0.628204,2.34738,7.44207,15.9897,21.5938
40960,0.159907,0.628591,2.35212,7.49032,16.2847,22.1744
41984,0.159921,0.628962,2.35688,7.53231,16.514,21.911
43008,0.159949,0.629301,2.36172,7.58877,16.6672,22.403
44032,0.159968,0.629599,2.36569,7.62081,16.9531,23.1122
45056,0.159987,0.629552,2.37095,7.6878,17.1654,23.6022
46080,0.160007,0.630199,2.37489,7.7207,17.3984,23.6176
47104,0.160028,0.630482,2.37851,7.7635,17.6688,24.1445
48128,0.160045,0.630779,2.38226,7.80345,17.8176,24.6591
49152,0.16006,0.631004,2.38597,7.83973,18.0004,25.2246
