1024,0.128969,0.329649,0.530729,0.64029,0.674056,0.669384
2048,0.142531,0.434071,0.890859,1.2122,1.33325,1.3372
3072,0.147604,0.485446,1.13717,1.70131,1.96686,2.0059
4096,0.150342,0.516351,1.32038,2.11666,2.55992,2.67124
5120,0.152077,0.536969,1.46073,2.55771,3.16826,3.27458
6144,0.153213,0.551318,1.57435,2.93575,3.73176,3.92727
7168,0.15402,0.561797,1.66374,3.26078,4.28219,4.57521
8192,0.154654,0.569921,1.73821,3.57045,4.85347,5.22942
9216,0.155129,0.57691,1.8031,3.8446,5.34618,5.70208
10240,0.155517,0.582437,1.85796,4.10138,5.85831,6.32716
11264,0.155686,0.586868,1.90446,4.33189,6.38195,6.97742
12288,0.156124,0.590532,1.94336,4.54983,6.81724,7.59995
13312,0.156355,0.593934,1.98169,4.75953,7.33065,8.03819
14336,0.156547,0.596892,2.01293,4.91211,7.74017,8.67132
15360,0.15671,0.59934,2.04139,5.11489,8.15168,9.28636
16384,0.156869,0.6015,2.06731,5.28632,8.53244,9.92318
17408,0.157005,0.603511,2.08881,5.42128,8.92643,10.3125
18432,0.157119,0.605267,2.11156,5.58128,9.44758,10.9214
19456,0.157221,0.606952,2.13068,5.72292,9.91001,11.5363
20480,0.157325,0.608357,2.14822,5.84519,10.2307,12.1722
21504,0.157345,0.60956,2.16424,5.963,10.662,12.4623
22528,0.157485,0.610693,2.17943,6.08124,10.9817,13.0347
23552,0.157557,0.611883,2.19213,6.1903,11.3649,13.6301
24576,0.157613,0.612827,2.20479,6.29833,11.745,14.253
25600,0.157683,0.613778,2.21607,6.39241,12.0379,14.5018
26624,0.157737,0.613943,2.22757,6.48563,12.4112,15.0857
27648,0.157792,0.615393,2.23695,6.57738,12.705,15.6322
28672,0.157835,0.616087,2.24752,6.65604,13.0286,16.1825
29696,0.157884,0.616837,2.2562,6.73927,13.377,16.4272
30720,0.157924,0.61746,2.26408,6.81279,13.6257,17.0076
31744,0.15796,0.61701,2.25459,6.88722,13.4825,17.5439
32768,0.158003,0.61862,2.28068,6.95712,14.2691,18.1368
33792,0.158039,0.618756,2.28817,7.02936,14.5283,18.2365
34816,0.158069,0.619595,2.29502,7.09498,14.8693,18.8551
35840,0.158102,0.620113,2.2969,7.15453,15.0891,19.3522
36864,0.158124,0.620496,2.3077,7.21055,15.34,19.9623
37888,0.158157,0.620969,2.31148,7.25601,15.6265,19.9901
38912,0.158183,0.62141,2.31955,7.33021,15.8834,20.4927
39936,0.15821,0.621766,2.32478,7.37992,16.1722,21.0223
40960,0.158233,0.622004,2.32932,7.4331,16.422,21.545
41984,0.15824,0.622495,2.3349,7.47128,16.6364,21.5296
43008,0.158276,0.622808,2.33848,7.53113,16.9026,22.0326
44032,0.158296,0.622637,2.34348,7.53192,17.069,22.5589
45056,0.158316,0.623368,2.34742,7.61885,17.3261,23.0976
46080,0.15833,0.623677,2.35181,7.64422,17.5496,23.3635
47104,0.158344,0.623868,2.35498,7.68854,17.6636,23.8285
48128,0.158361,0.624147,2.35738,7.7274,17.9557,24.341
49152,0.158378,0.624395,2.3617,7.76396,18.1059,24.9247
