1024,7.4801e-06,7.4881e-06,8.4801e-06,7.6422e-06,7.9131e-06
4096,8.0001e-06,7.9111e-06,8.6731e-06,8.2652e-06,7.9871e-06
16384,9.8611e-06,9.7352e-06,1.0472e-05,8.5941e-06,7.9571e-06
65536,1.7874e-05,1.3592e-05,1.7961e-05,1.2331e-05,7.9361e-06
262144,4.4839e-05,2.9064e-05,5.1533e-05,2.7211e-05,8.2982e-06
1048576,1.5364e-04,9.0987e-05,1.5305e-04,8.6842e-05,8.7881e-06
4194304,4.0680e-04,3.3985e-04,4.8461e-04,3.2556e-04,2.2866e-05
16777216,1.4519e-03,1.3397e-03,1.6719e-03,1.2809e-03,6.8571e-05
67108864,5.5629e-03,5.3141e-03,6.4321e-03,5.1101e-03,2.5118e-04
268435456,2.1917e-02,2.1231e-02,2.5435e-02,2.0381e-02,9.8066e-04
1073741824,8.7352e-02,8.4899e-02,1.0140e-01,8.1464e-02,3.9000e-03
