1024,5.5245e-06,4.9443e-06,5.5722e-06,4.9784e-06,6.7337e-06
4096,5.9180e-06,5.5739e-06,5.7359e-06,4.8230e-06,6.2845e-06
16384,8.6860e-06,8.7153e-06,7.9621e-06,5.7613e-06,6.3269e-06
65536,2.1241e-05,1.1398e-05,2.3613e-05,1.3363e-05,7.1034e-06
262144,4.9264e-05,2.6591e-05,6.1218e-05,2.5590e-05,1.0194e-05
1048576,1.9500e-04,1.1538e-04,3.5288e-04,1.0984e-04,1.9772e-05
4194304,8.1968e-04,4.2521e-04,9.6065e-04,5.2299e-04,1.2979e-04
16777216,3.1824e-03,1.8209e-03,4.1072e-03,1.9034e-03,4.9658e-04
67108864,1.3779e-02,7.3464e-03,1.5260e-02,7.6489e-03,1.9639e-03
268435456,5.3313e-02,2.9042e-02,6.1122e-02,3.0499e-02,7.8334e-03
